"SNF VBP Program Ranking","Footnote -- SNF VBP Program Ranking","CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Footnote -- Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Performance Period: FY 2023 Risk-Standardized Readmission Rate","Footnote -- Performance Period: FY 2023 Risk-Standardized Readmission Rate","Achievement Score","Footnote -- Achievement Score","Improvement Score","Footnote -- Improvement Score","Performance Score","Footnote -- Performance Score","Incentive Payment Multiplier","Footnote -- Incentive Payment Multiplier"
7099,,015016,ATHENS HEALTH AND REHABILITATION LLC,611 WEST MARKET STREET,ATHENS,AL,35611,0.21072,,0.22515,,0.00000,,0.00000,,0.00000,,0.9802564842,
1372,,015019,MERRY WOOD LODGE,280 MT HEBRON ROAD,ELMORE,AL,36025,0.17796,,0.18104,,70.76464,,0.00000,,70.76464,,1.0140528213,
1520,,015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",1600 WEST HOBBS STREET,ATHENS,AL,35611,0.21271,,0.18225,,67.87835,,67.81855,,67.87835,,1.0128290844,
7099,,015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",1825 HOLTVILLE ROAD,WETUMPKA,AL,36092,0.21316,,0.25994,,0.00000,,0.00000,,0.00000,,0.9802564842,
2870,,015028,KELLER LANDING,813 KELLER LANE,TUSCUMBIA,AL,35674,0.21791,,0.19165,,45.45587,,50.83670,,50.83670,,0.9999621933,
7099,,015031,MITCHELL - HOLLINGSWORTH NURSING & REHABILITATION,805 FLAGG CIRCLE,FLORENCE,AL,35631,0.17224,,0.21387,,0.00000,,0.00000,,0.00000,,0.9802564842,
2530,,015032,DIVERSICARE OF FOLEY,1701 NORTH ALSTON STREET,FOLEY,AL,36535,0.23658,,0.19741,,31.71614,,54.61948,,54.61948,,1.0035097079,
3368,,015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",3200 HUNTER CREEK RD,NORTHPORT,AL,35473,0.22291,,0.19683,,33.09966,,45.12493,,45.12493,,0.9945808361,
4106,,015035,WEST GATE VILLAGE,100 PINEVIEW AND THIRD,BREWTON,AL,36427,0.19581,,0.19527,,36.82083,,0.00000,,36.82083,,0.9880922932,
5696,,015040,DIVERSICARE OF MONTGOMERY,2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106,0.20627,,0.20238,,19.86085,,5.99181,,19.86085,,0.9817935210,
7099,,015042,"SUMTER HEALTH AND REHABILITATION, L L C",1505 EAST 4TH AVENUE,YORK,AL,36925,0.20968,,0.21071,,0.00000,,0.00000,,0.00000,,0.9802564842,
4825,,015048,CULLMAN HEALTH CARE CENTER,1607 MAIN AVE NE,CULLMAN,AL,35055,0.21187,,0.19852,,29.06838,,27.56892,,29.06838,,0.9842063589,
6296,,015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,101 VILLA DRIVE,DAPHNE,AL,36526,0.22934,,0.21863,,0.00000,,13.32022,,13.32022,,0.9809539361,
6168,,015053,CLEBURNE COUNTY NURSING HOME,122 BROCKFORD ROAD,HEFLIN,AL,36264,0.18574,,0.20454,,14.70845,,0.00000,,14.70845,,0.9810919497,
3041,,015063,DIVERSICARE OF BOAZ,600 CORLEY AVENUE,BOAZ,AL,35957,0.19271,,0.19020,,48.91466,,6.49794,,48.91466,,0.9981222611,
7099,,015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",601 JASMINE TRAIL,PRATTVILLE,AL,36066,0.21419,,0.21622,,0.00000,,0.00000,,0.00000,,0.9802564842,
1,,015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",390 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653,0.21340,,0.17069,,100.00000,,90.00000,,100.00000,,1.0180656313,
3714,,015067,COTTAGE OF THE SHOALS,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674,0.19123,,0.19343,,41.20991,,0.00000,,41.20991,,0.9912430662,
7099,,015073,"HANCEVILLE NURSING & REHAB CENTER, INC",420 MAIN STREET NE,HANCEVILLE,AL,35077,0.22178,,0.22087,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015075,"SUMMERFORD HEALTH AND REHAB, LLC",4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622,0.18647,,0.21435,,0.00000,,0.00000,,0.00000,,0.9802564842,
5233,,015076,FAIR HAVEN,1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210,0.17359,,0.20037,,24.65545,,0.00000,,24.65545,,0.9828158230,
7099,,015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",987 DRAYTON STREET,ELBA,AL,36323,0.21777,,0.22354,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015084,PARK PLACE,100 PARK PLACE,SELMA,AL,36701,0.20784,,0.22410,,0.00000,,0.00000,,0.00000,,0.9802564842,
3804,,015089,EVERGREEN NURSING HOME,100 SANDERS DRIVE,EVERGREEN,AL,36401,0.18386,,0.19386,,40.18420,,0.00000,,40.18420,,0.9904457832,
2457,,015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",200 NORTH PINE HILL ROAD,BIRMINGHAM,AL,35217,0.19529,,0.18753,,55.28359,,26.79025,,55.28359,,1.0041084577,
4456,,015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",148 TUSCALOOSA ST,MOBILE,AL,36607,0.19748,,0.19683,,33.09966,,0.00000,,33.09966,,0.9859694861,
7099,,015111,DIVERSICARE OF BIG SPRINGS,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,0.19710,,0.20924,,0.00000,,0.00000,,0.00000,,0.9802564842,
4673,,015113,RIVER CITY CENTER,1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601,0.20759,,0.19793,,30.47575,,21.31436,,30.47575,,0.9847630237,
5090,,015114,SHADESCREST HEALTH CARE CENTER,331 WEST 25TH STREET,JASPER,AL,35502,0.19775,,0.19974,,26.15823,,0.00000,,26.15823,,0.9832338984,
7099,,015115,"CORDOVA HEALTH AND REHABILITATION, LLC",70 HIGHLAND STREET WEST,CORDOVA,AL,35550,0.19862,,0.21062,,0.00000,,0.00000,,0.00000,,0.9802564842,
6648,,015116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801,0.18569,,0.20678,,9.36523,,0.00000,,9.36523,,0.9806475927,
6558,,015119,ARABELLA HEALTH AND WELLNESS OF SELMA,11 BELL ROAD,SELMA,AL,36701,0.18028,,0.20624,,10.65333,,0.00000,,10.65333,,0.9807349126,
7099,,015120,"NHC HEALTHCARE, ANNISTON",2300 COLEMAN RD,ANNISTON,AL,36207,0.21324,,0.21579,,0.00000,,0.00000,,0.00000,,0.9802564842,
783,,015126,TRAYLOR RETIREMENT COMMUNITY,1235 YANCEY STREET,ROANOKE,AL,36274,0.16502,,0.17581,,83.24013,,0.00000,,83.24013,,1.0169901716,
1679,,015127,BROOKSHIRE HEALTHCARE CENTER,4320 JUDITH LANE,HUNTSVILLE,AL,35805,0.20517,,0.18324,,65.51683,,58.95451,,65.51683,,1.0116217496,
6926,,015128,"NHC HEALTHCARE, MOULTON",300 HOSPITAL STREET,MOULTON,AL,35650,0.23374,,0.22687,,0.00000,,5.92905,,5.92905,,0.9804615408,
6948,,015129,ATMORE NURSING CENTER,715 EAST LAUREL STREET,ATMORE,AL,36502,0.22341,,0.21781,,0.00000,,5.66057,,5.66057,,0.9804494579,
2433,,015132,DIVERSICARE OF OXFORD,1130 SOUTH HALE STREET,OXFORD,AL,36203,0.17662,,0.18740,,55.59369,,0.00000,,55.59369,,1.0043846140,
5806,,015133,MAGNOLIA RIDGE,420 DEAN DRIVE,GARDENDALE,AL,35071,0.22700,,0.21373,,0.00000,,18.64576,,18.64576,,0.9815968621,
2722,,015135,JOHN KNOX MANOR INC I I,4401 NARROW LANE ROAD,MONTGOMERY,AL,36116,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.18867,,52.56427,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",52.56427,,1.0016043926,
2677,,015136,FALKVILLE HEALTH CARE CENTER,10 WEST 3RD STREET,FALKVILLE,AL,35622,0.18433,,0.18849,,52.99364,,0.00000,,52.99364,,1.0020078931,
1098,,015138,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,0.23889,,0.18391,,63.91863,,75.84105,,75.84105,,1.0156331136,
7099,,015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",2639 GILMER AVENUE,TALLASSEE,AL,36078,0.18322,,0.24259,,0.00000,,0.00000,,0.00000,,0.9802564842,
6698,,015141,ARBOR WOODS HEALTH AND REHAB,515 2ND AVENUE NORTHWEST,REFORM,AL,35481,0.20864,,0.20701,,8.81659,,0.00000,,8.81659,,0.9806135741,
4936,,015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",88073 HIGHWAY 9,LINEVILLE,AL,36266,0.20793,,0.19902,,27.87570,,19.04858,,27.87570,,0.9837800848,
7099,,015143,FOREST MANOR HEALTH AND REHAB,2215 32ND STREET,NORTHPORT,AL,35476,0.20364,,0.22226,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015144,THE HEALTHCARE CENTER AT BUCK CREEK,"850 9TH STREET, NORTHWEST",ALABASTER,AL,35007,0.19148,,0.20970,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015145,DIVERSICARE OF RIVERCHASE,2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244,0.19924,,0.24101,,0.00000,,0.00000,,0.00000,,0.9802564842,
6007,,015147,GLENWOOD CENTER,211 ANA DRIVE,FLORENCE,AL,35630,0.20544,,0.20383,,16.40207,,0.00000,,16.40207,,0.9812867007,
924,,015148,DIVERSICARE OF ARAB,235 THIRD STREET SE,ARAB,AL,35016,0.16435,,0.17728,,79.73363,,0.00000,,79.73363,,1.0164579808,
2241,,015149,SUNSET MANOR,251 SUNSET PLACE,GUIN,AL,35563,0.18906,,0.18645,,57.85979,,9.35644,,57.85979,,1.0063260427,
3007,,015152,EXTENDICARE HEALTH CENTER,950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302,0.23503,,0.20021,,25.03711,,49.27903,,49.27903,,0.9984706328,
7099,,015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,"1020 TUSCALOOSA AVENUE, SW",BIRMINGHAM,AL,35211,0.20812,,0.23094,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,0.20331,,0.21024,,0.00000,,0.00000,,0.00000,,0.9802564842,
4729,,015155,"RIDGEVIEW HEALTH SERVICES, INC","907 11TH STREET, NE",JASPER,AL,35504,0.20997,,0.19815,,29.95097,,25.23791,,29.95097,,0.9845484163,
2712,,015156,CROWNE HEALTH CARE OF FT PAYNE,403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967,0.17904,,0.18864,,52.63583,,0.00000,,52.63583,,1.0016718061,
5938,,015157,HALEYVILLE HEALTH CARE CENTER,2201 11TH AVENUE,HALEYVILLE,AL,35565,0.19814,,0.20347,,17.26080,,0.00000,,17.26080,,0.9813978684,
6297,,015160,SYLACAUGA HEALTH AND REHAB SERVICES,1007 W FORT WILLIAMS ST,SYLACAUGA,AL,35150,0.20453,,0.20513,,13.30109,,0.00000,,13.30109,,0.9809521581,
7074,,015162,"TALLADEGA HEALTHCARE CENTER, INC",616 CHAFFEE STREET,TALLADEGA,AL,35160,0.22890,,0.22560,,0.00000,,0.68769,,0.68769,,0.9802746123,
3788,,015163,ALBERTVILLE NURSING HOME,750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950,0.20961,,0.19376,,40.42274,,35.92435,,40.42274,,0.9906280152,
7099,,015169,"FLORENCE NURSING AND REHABILITATION CTR, LLC",2107 CLOYD BLVD,FLORENCE,AL,35630,0.20416,,0.22393,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015171,SOUTHERN SPRINGS HEALTHCARE FACILITY,745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,AL,36089,0.18937,,0.22286,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015174,COOSA VALLEY HEALTH AND REHAB,513 PINEVIEW AVENUE,GLENCOE,AL,35905,0.19031,,0.22942,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015175,WESLEY PLACE ON HONEYSUCKLE,718 HONEYSUCKLE ROAD,DOTHAN,AL,36305,0.18714,,0.22310,,0.00000,,0.00000,,0.00000,,0.9802564842,
5373,,015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",8922 HIGHWAY 227,CROSSVILLE,AL,35962,0.17033,,0.20101,,23.12881,,0.00000,,23.12881,,0.9824425645,
7099,,015177,WOODHAVEN MANOR NURSING HOME,105 WEST WINDSOR ST,DEMOPOLIS,AL,36732,0.19147,,0.20898,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015180,GADSDEN HEALTH AND REHAB CENTER,1945 DAVIS DRIVE,GADSDEN,AL,35904,0.21190,,0.25351,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",206 PALMER AVENUE,GEORGIANA,AL,36033,0.16924,,0.21753,,0.00000,,0.00000,,0.00000,,0.9802564842,
2555,,015183,NORTH MOBILE NURSING AND REHABILITATION CTR,4525 ST STEPHENS ROAD,EIGHT MILE,AL,36613,0.19629,,0.18793,,54.32945,,27.90043,,54.32945,,1.0032452983,
2273,,015184,CLOVERDALE REHABILITATION AND NURSING CENTER,412 CLOVERDALE ROAD,SCOTTSBORO,AL,35768,0.18113,,0.18661,,57.47813,,0.00000,,57.47813,,1.0060092990,
7099,,015186,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",2201 32ND STREET,NORTHPORT,AL,35476,0.18150,,0.21593,,0.00000,,0.00000,,0.00000,,0.9802564842,
2457,,015188,JACKSON HEALTH CARE FACILITY,2616 NORTH COLLEGE AVENUE,JACKSON,AL,36545,0.20263,,0.18753,,55.28359,,42.55906,,55.28359,,1.0041084577,
7099,,015189,DIVERSICARE OF PELL CITY,"510 WOLF CREEK ROAD, NORTH",PELL CITY,AL,35125,0.22041,,0.24074,,0.00000,,0.00000,,0.00000,,0.9802564842,
1169,,015192,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",1910 PEPPERELL PKWY,OPELIKA,AL,36801,0.19244,,0.17960,,74.19958,,54.55473,,74.19958,,1.0151925999,
7099,,015193,CROWNE HEALTH CARE OF GREENVILLE,408 COUNTRY CLUB DRIVE,GREENVILLE,AL,36037,0.18531,,0.22191,,0.00000,,0.00000,,0.00000,,0.9802564842,
565,,015194,PIEDMONT HEALTH CARE CENTER,30 ROUNDTREE DRIVE,PIEDMONT,AL,36272,0.24002,,0.17429,,86.86589,,90.00000,,90.00000,,1.0176328459,
7099,,015195,VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,415 COOK SPRINGS,PELL CITY,AL,35125,0.20416,,0.22188,,0.00000,,0.00000,,0.00000,,0.9802564842,
2846,,015196,DIVERSICARE OF LANETT,702 SOUTH 13TH STREET,LANETT,AL,36863,0.20824,,0.18930,,51.06149,,45.69593,,51.06149,,1.0001770671,
2325,,015199,CROWNE HEALTH CARE OF EUFAULA,430 RIVERS AVENUE,EUFAULA,AL,36027,0.22010,,0.18965,,50.22661,,56.86510,,56.86510,,1.0054914884,
7099,,015200,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,877 CEDAR BLUFF ROAD,CENTRE,AL,35960,0.17745,,0.23570,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015202,MCGUFFEY HEALTH & REHABILITATION CENTER,2301 RAINBOW DRIVE,GADSDEN,AL,35999,0.20063,,0.21862,,0.00000,,0.00000,,0.00000,,0.9802564842,
3166,,015203,ATTALLA HEALTH AND REHAB,915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954,0.19991,,0.19091,,47.22104,,26.00241,,47.22104,,0.9965156737,
1,,015206,DECATUR HEALTH & REHAB CENTER,2326 MORGAN AVENUE SOUTHWEST,DECATUR,AL,35603,0.20964,,0.16817,,100.00000,,90.00000,,100.00000,,1.0180656313,
7099,,015207,COLLINSVILLE HEALTHCARE & REHAB,685 NORTH VALLEY AVE,COLLINSVILLE,AL,35961,0.17382,,0.21059,,0.00000,,0.00000,,0.00000,,0.9802564842,
1402,,015208,"OZARK HEALTH AND REHABILITATION, LLC",312 BRYAN DRIVE,OZARK,AL,36360,0.16094,,0.18138,,69.95362,,0.00000,,69.95362,,1.0137353122,
7099,,015209,DIVERSICARE OF BESSEMER,820 GOLF COURSE ROAD,BESSEMER,AL,35020,0.18977,,0.21637,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015210,"OPP HEALTH AND REHABILITATION, LLC",115 PAULK AVENUE,OPP,AL,36467,0.18466,,0.23338,,0.00000,,0.00000,,0.00000,,0.9802564842,
4666,,015211,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,857 CRAWFORD LANE,MOBILE,AL,36617,0.19071,,0.19790,,30.54731,,0.00000,,30.54731,,0.9847929524,
7099,,015212,SELF SKILLED NURSING & REHAB,131 EAST CREST ROAD,HUEYTOWN,AL,35023,0.20947,,0.21400,,0.00000,,0.00000,,0.00000,,0.9802564842,
4070,,015213,TROY HEALTH & REHABILITATION CENTER,515 ELBA HIGHWAY,TROY,AL,36079,0.20814,,0.19513,,37.15478,,29.91680,,37.15478,,0.9883075268,
3378,,015215,BIBB MEDICAL CENTER NURSING HOME,208 PIERSON AVE,CENTREVILLE,AL,35042,0.18088,,0.19184,,45.00265,,0.00000,,45.00265,,0.9944705441,
1484,,015216,OAKVIEW MANOR HEALTH CARE CENTER,929 MIXON SCHOOL ROAD,OZARK,AL,36360,0.18382,,0.18198,,68.52240,,9.21947,,68.52240,,1.0131252474,
2997,,015221,"CHAPMAN HEALTHCARE CENTER, INC",3701 DADEVILLE ROAD,ALEXANDER CITY,AL,35010,0.17829,,0.18999,,49.41558,,0.00000,,49.41558,,0.9986013160,
4539,,015222,FAIRHOPE HEALTH & REHAB,108 SOUTH CHURCH STREET,FAIRHOPE,AL,36532,0.22604,,0.20559,,12.20382,,32.07397,,32.07397,,0.9854706293,
6075,,015223,NORTHSIDE HEALTH CARE,700 HUTCHINS AVENUE,GADSDEN,AL,35901,0.20938,,0.20415,,15.63875,,8.58442,,15.63875,,0.9811950883,
3393,,015225,BARFIELD HEALTH CARE,22444 HIGHWAY 431,GUNTERSVILLE,AL,35976,0.20305,,0.19189,,44.88338,,29.69071,,44.88338,,0.9943632837,
3745,,015227,"GENERATIONS OF VERNON, LLC",1050 CONVALESCENT ROAD,VERNON,AL,35592,0.19938,,0.19357,,40.87596,,15.38596,,40.87596,,0.9909795993,
5736,,015315,"RIDGEWOOD HEALTH SERVICES, INC.",201 OAKHILL ROAD,JASPER,AL,35504,0.22592,,0.21244,,0.00000,,19.49128,,19.49128,,0.9817313870,
1549,,015320,ENTERPRISE HEALTH & REHABILITATION CENTER,300 PLAZA DRIVE,ENTERPRISE,AL,36331,0.16988,,0.18243,,67.44898,,0.00000,,67.44898,,1.0126239285,
5278,,015322,ENGLEWOOD HEALTH CARE CENTER,2046 SOUTH ALABAMA AVE,MONROEVILLE,AL,36460,0.18122,,0.20059,,24.13067,,0.00000,,24.13067,,0.9826819391,
7099,,015326,"PARK MANOR HEALTH AND REHABILITATION, LLC",2201 MCFARLAND BOULEVARD,NORTHPORT,AL,35476,0.19560,,0.21970,,0.00000,,0.00000,,0.00000,,0.9802564842,
6721,,015331,ARABELLA HEALTH & WELLNESS OF PHENIX CITY,3900 LAKEWOOD DRIVE,PHENIX CITY,AL,36867,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20721,,8.33952,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",8.33952,,0.9805854260,
4575,,015336,"LUVERNE HEALTH AND REHABILITATION, LLC",142 WEST THIRD STREET,LUVERNE,AL,36049,0.19562,,0.19745,,31.62073,,0.00000,,31.62073,,0.9852614963,
7099,,015369,OAKS ON PARKWOOD SKILLED NURSING FACILITY,2625 LAUREL OAK DRIVE,BESSEMER,AL,35022,0.19617,,0.23024,,0.00000,,0.00000,,0.00000,,0.9802564842,
6297,,015371,HERITAGE HEALTH CARE & REHAB INC,1101 SNOWS MILL AVENUE,TUSCALOOSA,AL,35406,0.18638,,0.20513,,13.30109,,0.00000,,13.30109,,0.9809521581,
2840,,015372,REGENCY HEALTH CARE AND REHABILITATION CENTER,"2061 POOLE DRIVE, NW",HUNTSVILLE,AL,35810,0.20629,,0.18927,,51.13305,,43.06552,,51.13305,,1.0002454204,
5040,,015373,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,212 DOTHAN ROAD,ABBEVILLE,AL,36310,0.19505,,0.19952,,26.68301,,0.00000,,26.68301,,0.9833927134,
7099,,015375,ANNISTON HEALTH AND REHAB SERVICES,600 E 8TH STREET,ANNISTON,AL,36207,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.22638,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802564842,
7099,,015376,DIVERSICARE OF WINFIELD,144 COUNTY HWY 14,WINFIELD,AL,35594,0.18557,,0.21221,,0.00000,,0.00000,,0.00000,,0.9802564842,
4985,,015378,MARSHALL MANOR NURSING HOME,3120 NORTH STREET,GUNTERSVILLE,AL,35976,0.19558,,0.19923,,27.37477,,0.00000,,27.37477,,0.9836128060,
6050,,015379,MOBILE NURSING AND REHABILITATION CENTER,7020 BRUNS DRIVE,MOBILE,AL,36695,0.23560,,0.22207,,0.00000,,15.90544,,15.90544,,0.9812263553,
7099,,015381,WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,500 SPANISH FORT BLVD,SPANISH FORT,AL,36527,0.17737,,0.21087,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015382,CANTERBURY HEALTH CARE FACILITY,1720 KNOWLES ROAD,PHENIX CITY,AL,36869,0.18413,,0.22794,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015383,WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,1900 OLIVE STREET SW,CULLMAN,AL,35056,0.20902,,0.24339,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015388,EAST GLEN,53 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235,0.21198,,0.22191,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,015390,CAPITOL HILL HEALTHCARE CENTER,520 SOUTH HULL STREET,MONTGOMERY,AL,36104,0.20359,,0.23934,,0.00000,,0.00000,,0.00000,,0.9802564842,
1503,,015391,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",410 WILSON DRIVE SOUTHWEST,JACKSONVILLE,AL,36265,0.19090,,0.18211,,68.21230,,38.90609,,68.21230,,1.0129843671,
7099,,015392,CYPRESS COVE CARE CENTER,200 ALABAMA AVENUE,MUSCLE SHOALS,AL,35661,0.19022,,0.24783,,0.00000,,0.00000,,0.00000,,0.9802564842,
3985,,015393,CROWNE HEALTH CARE OF MONTGOMERY,1837 UPPER WETUMPKA ROAD,MONTGOMERY,AL,36107,0.18083,,0.19480,,37.94196,,0.00000,,37.94196,,0.9888311114,
4905,,015396,DIVERSICARE OF GREENSBORO,616 ARMORY STREET,GREENSBORO,AL,36744,0.22412,,0.20642,,10.22396,,28.24568,,28.24568,,0.9839080319,
5678,,015397,WINDSOR HOUSE,4411 MCALLISTER DRIVE,HUNTSVILLE,AL,35805,0.17767,,0.20230,,20.05168,,0.00000,,20.05168,,0.9818264284,
2294,,015398,MONROE MANOR HEALTH & REHABILITATION CENTER,236 WEST CLAIBORNE STREET,MONROEVILLE,AL,36460,0.17693,,0.18672,,57.21574,,0.00000,,57.21574,,1.0057890058,
7099,,015400,MEADOWVIEW NURSING CENTER,7300 OLD HIGHWAY 78 EAST,PELL CITY,AL,35128,0.18989,,0.22734,,0.00000,,0.00000,,0.00000,,0.9802564842,
